team;year_1;year_2;year_3;year_4;year_5;year_6;year_7;year_8;year_9;year_10;year_11;year_12;year_13;year_14;year_15;year_16;total
Natus Vincere;2016;2016;2018;2018;2018;2018;2019;2019;2019;2021;2021;2022;2022;2022;2022;2024;16
Astralis;2017;2017;2017;2018;2018;2018;2018;2019;2019;2019;2019;2019;-;-;-;-;12
Vitality;2019;2021;2023;2023;2024;2024;2024;2025;2025;-;-;-;-;-;-;-;9
Cloud9;2018;2018;2018;2018;2022;2023;2023;-;-;-;-;-;-;-;-;-;7
FaZe;2018;2018;2018;2022;2022;2024;2024;-;-;-;-;-;-;-;-;-;7
HEROIC;2021;2022;2022;2022;2023;2023;-;-;-;-;-;-;-;-;-;-;6
SK;2016;2016;2017;2017;2017;-;-;-;-;-;-;-;-;-;-;-;5
Spirit;2022;2024;2024;2024;2025;-;-;-;-;-;-;-;-;-;-;-;5
Liquid;2016;2018;2019;2023;-;-;-;-;-;-;-;-;-;-;-;-;4
Gambit;2017;2017;2021;2021;-;-;-;-;-;-;-;-;-;-;-;-;4
G2;2021;2021;2024;2024;-;-;-;-;-;-;-;-;-;-;-;-;4
Luminosity;2016;2016;2016;-;-;-;-;-;-;-;-;-;-;-;-;-;3
MIBR;2018;2019;2019;-;-;-;-;-;-;-;-;-;-;-;-;-;3
ENCE;2019;2022;2022;-;-;-;-;-;-;-;-;-;-;-;-;-;3
FURIA;2022;2022;2025;-;-;-;-;-;-;-;-;-;-;-;-;-;3
AVANGAR;2019;2019;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
Outsiders;2022;2022;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
GamerLegion;2023;2023;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
The MongolZ;2025;2025;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
Virtus.pro;2017;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
Immortals;2017;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
fnatic;2018;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
NRG;2019;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
Renegades;2019;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
Ninjas in Pyjamas;2022;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
MOUZ;2022;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
Eternal Fire;2024;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
