year;month_finished;tournament;location;country;n_mvp;n_evp;player;team;at_age
2013;November;DreamHack Winter;Sweden;Sweden;1;0;Jesper 'JW' Wecksell;fnatic;18
2014;March;EMS One Katowice;Poland;Poland;1;0;Jarosław 'pashaBiceps' Jarząbkows;Virtus.pro;26
2014;August;ESL One Cologne;Germany;Sweden;1;0;Adam 'friberg' Friberg;Ninjas in Pyjamas;22
2014;November;DreamHack Winter;Sweden;France;1;0;Vincent 'Happy' Schopenhauer;LDLC;22
2015;March;ESL One Katowice;Poland;Sweden;1;0;Olof 'olofmeister' Kajbjer;fnatic;23
2015;August;ESL One Cologne;Germany;Sweden;1;0;Robin 'flusha' Rönnquis;fnatic;22
2015;November;DreamHack Open Cluj-Napoca;Romania;France;1;0;Kenny 'kennyS' Schrub;Envy;20
2016;April;MLG Columbus;USA;Brazil;1;0;Marcelo 'coldzera' David;Luminosity;21
2016;April;MLG Columbus;USA;Brazil;0;1;Lincoln 'fnx' Lau;Luminosity;26
2016;April;MLG Columbus;USA;Brazil;0;1;Fernando 'fer' Alvarenga;Luminosity;24
2016;April;MLG Columbus;USA;Brazil;0;1;Gabriel 'FalleN' Toledo;Luminosity;25
2016;April;MLG Columbus;USA;Russia;0;1;Egor 'flamie' Vasilyev;Natus Vincere;19
2016;April;MLG Columbus;USA;Ukraine;0;1;Oleksandr 's1mple' Kostyliev;Natus Vincere;18
2016;July;ESL One Cologne;Germany;Brazil;1;0;Marcelo 'coldzera' David;SK;21
2016;July;ESL One Cologne;Germany;Brazil;0;1;Lincoln 'fnx' Lau;SK;26
2016;July;ESL One Cologne;Germany;Brazil;0;1;Gabriel 'FalleN' Toledo;SK;25
2016;July;ESL One Cologne;Germany;Ukraine;0;1;Oleksandr 's1mple' Kostyliev;Liquid;18
2017;January;ELEAGUE Major;USA;Denmark;1;0;Markus 'Kjaerbye' Kjærby;Astralis;19
2017;January;ELEAGUE Major;USA;Denmark;0;1;Nicolai 'device' Reedtz;Astralis;21
2017;January;ELEAGUE Major;USA;Kazakhstan;0;1;Dauren 'AdreN' Kystaubayev;Gambit;27
2017;January;ELEAGUE Major;USA;Brazil;0;1;Marcelo 'coldzera' David;SK;22
2017;January;ELEAGUE Major;USA;Brazil;0;1;Fernando 'fer' Alvarenga;SK;25
2017;January;ELEAGUE Major;USA;Poland;0;1;Janusz 'Snax' Pogorzelski;Virtus.pro;24
2017;July;PGL Major Krakow;Poland;Kazakhstan;1;0;Dauren 'AdreN' Kystaubayev;Gambit;27
2017;July;PGL Major Krakow;Poland;Kazakhstan;0;1;Abay 'HObbit' Khassenov;Gambit;23
2017;July;PGL Major Krakow;Poland;Brazil;0;1;Marcelo 'coldzera' David;SK;22
2017;July;PGL Major Krakow;Poland;Brazil;0;1;Ricardo 'boltz' Prass;Immortals;20
2017;July;PGL Major Krakow;Poland;Denmark;0;1;Peter 'dupreeh' Rasmussen;Astralis;24
2017;July;PGL Major Krakow;Poland;Denmark;0;1;Nicolai 'device' Reedtz;Astralis;21
2018;January;ELEAGUE Major;USA;United States;1;0;Tarik 'tarik' Celik;Cloud9;22
