year,month_finished,tournament,country,quarter,semi,final,won
2013,November,DreamHack Winter,Ukraine,2,0,0,0
2014,March,EMS One Katowice,Ukraine,2,0,0,0
2014,August,ESL One Cologne,Ukraine,3,0,0,0
2014,November,DreamHack Winter,Ukraine,6,3,0,0
2015,March,ESL One Katowice,Ukraine,3,0,0,0
2015,August,ESL One Cologne,Ukraine,2,0,0,0
2015,November,DreamHack Open Cluj-Napoca,Ukraine,2,2,2,0
2016,April,MLG Columbus,Ukraine,3,3,2,0
2016,July,ESL One Cologne,Ukraine,6,1,1,0
2017,January,ELEAGUE Major,Ukraine,3,0,0,0
2017,July,PGL Major Krakow,Ukraine,1,1,1,1
2018,January,ELEAGUE Major,Ukraine,3,3,0,0
2018,September,FACEIT Major,Ukraine,5,3,3,0
2019,March,IEM Katowice,Ukraine,3,3,0,0
2019,September,StarLadder Major Berlin,Ukraine,2,0,0,0
2021,November,PGL Major Stockholm,Ukraine,2,2,2,2
2022,May,PGL Major Antwerp,Ukraine,2,2,2,0
2022,November,IEM Rio Major,Ukraine,4,0,0,0
2023,May,BLAST.tv Paris Major,Ukraine,4,0,0,0
2024,March,PGL CS2 Major Copenhagen,Ukraine,3,2,2,2
2024,December,Perfect World Shanghai Major,Ukraine,1,1,1,1
2025,June,BLAST.tv Austin Major,Ukraine,4,0,0,0
2013,November,DreamHack Winter,Sweden,15,10,10,5
2014,March,EMS One Katowice,Sweden,15,10,5,0
2014,August,ESL One Cologne,Sweden,10,10,10,5
2014,November,DreamHack Winter,Sweden,10,5,5,0
2015,March,ESL One Katowice,Sweden,9,9,9,5
2015,August,ESL One Cologne,Sweden,11,5,5,5
2015,November,DreamHack Open Cluj-Napoca,Sweden,11,6,0,0
2016,April,MLG Columbus,Sweden,10,0,0,0
2016,July,ESL One Cologne,Sweden,5,5,0,0
2017,January,ELEAGUE Major,Sweden,5,5,0,0
2017,July,PGL Major Krakow,Sweden,5,0,0,0
2018,January,ELEAGUE Major,Sweden,6,1,1,0
